"TIME","TYPE","AMOUNT","CATEGORY","ACCOUNT","NOTES" 
"Apr 04, 2023 6:05 AM","(-) Expense","30000.00","Gas","Daily Driver","super scoopy" 
"Apr 04, 2023 6:05 AM","(-) Expense","42000.00","Gift","Daily Driver","buku sheena" 
"Apr 05, 2023 10:34 AM","(-) Expense","100000.00","cash out","Daily Driver","cash" 
"Apr 05, 2023 10:34 AM","(-) Expense","74000.00","Sport","Daily Driver","lifting straps" 
"Apr 06, 2023 4:30 AM","(-) Expense","19000.00","Admin fee","Daily Driver","" 
"Apr 06, 2023 11:38 AM","(-) Expense","20000.00","Admin fee","Daily Driver","gopay buat parkir" 
"Apr 06, 2023 5:13 PM","(-) Expense","30000.00","Food","Daily Driver","wargot dan tempe" 
"Apr 07, 2023 7:33 AM","(-) Expense","30000.00","Food","Daily Driver","warteg sari rasa" 
"Apr 07, 2023 1:47 PM","(-) Expense","100000.00","cash out","Daily Driver","cash" 
"Apr 07, 2023 1:47 PM","(-) Expense","95000.00","Food","Daily Driver","mcd" 
"Apr 07, 2023 1:47 PM","(-) Expense","30000.00","Gas","Daily Driver","" 
"Apr 07, 2023 6:51 PM","(-) Expense","124000.00","Food","Daily Driver","ikea jajan" 
"Apr 07, 2023 7:51 PM","(-) Expense","185000.00","Internet","Daily Driver","wifi" 
"Apr 07, 2023 7:53 PM","(+) Income","25000.00","Reimbursements","Daily Driver","uang protein shake" 
"Apr 09, 2023 5:16 PM","(-) Expense","28000.00","Food","Daily Driver","wargot" 
"Apr 10, 2023 2:26 PM","(-) Expense","300000.00","Engredients Shopping","Daily Driver","uang bulanan pita" 
"Apr 13, 2023 2:26 PM","(-) Expense","199000.00","Food","Daily Driver","all sorts of stuff" 
"Apr 13, 2023 2:27 PM","(-) Expense","315000.00","Food","Fun Funds","jajan all sorts of stuff" 
"Apr 22, 2023 2:27 PM","(+) Income","2500000.00","House Income","Daily Driver","pops" 
"Apr 24, 2023 11:22 AM","(-) Expense","300000.00","Gift","Daily Driver","thr" 
"Apr 27, 2023 7:37 AM","(*) Transfer","1050000.00","  -  ","Daily Driver->Fun Funds","" 
"Apr 27, 2023 7:38 AM","(-) Expense","93000.00","Engredients Shopping","Daily Driver","madu" 
"Apr 27, 2023 7:38 AM","(-) Expense","53000.00","Food","Daily Driver","shopeefood" 
"Apr 27, 2023 7:38 AM","(-) Expense","15000.00","Transportation","Daily Driver","grabbike" 
"Apr 27, 2023 7:39 AM","(-) Expense","50000.00","Food","Fun Funds","ws hotplate" 
"Apr 27, 2023 7:40 AM","(-) Expense","30000.00","Admin fee","Daily Driver","bank" 
"Apr 27, 2023 4:06 PM","(-) Expense","30000.00","Food","Daily Driver","kebab" 
"Apr 29, 2023 9:55 AM","(+) Income","1185000.00","House Income","Daily Driver","pita" 
"Apr 29, 2023 9:56 AM","(-) Expense","100000.00","Food","Daily Driver","shopeefood" 
"Apr 29, 2023 9:56 AM","(-) Expense","170000.00","Medicine","Daily Driver","antigen" 
"Apr 29, 2023 9:57 AM","(-) Expense","100000.00","cash out","Daily Driver","cash" 
"Apr 30, 2023 8:53 AM","(-) Expense","100000.00","Medicine","Daily Driver","intunal F dan actifed" 
"Apr 30, 2023 8:53 AM","(-) Expense","100000.00","Utilities","Daily Driver","listrik" 
"Apr 30, 2023 8:53 AM","(-) Expense","100000.00","Entertainment","Fun Funds","coc gems" 
"Apr 30, 2023 2:02 PM","(+) Income","200000.00","Gift","Daily Driver","pops" 
"Apr 30, 2023 2:02 PM","(-) Expense","155800.00","Engredients Shopping","Daily Driver","yogya delivery" 
"Apr 30, 2023 2:03 PM","(-) Expense","9000.00","Admin fee","Daily Driver","admin" 
"May 01, 2023 10:35 AM","(-) Expense","151800.00","Engredients Shopping","Daily Driver","yogya grabmart" 
"May 01, 2023 10:37 AM","(-) Expense","51000.00","Food","Daily Driver","shopeepay" 
"May 03, 2023 8:29 PM","(-) Expense","92500.00","cash out","Daily Driver","cash" 
"May 03, 2023 8:30 PM","(-) Expense","92500.00","Utilities","Daily Driver","internet" 
"May 03, 2023 8:30 PM","(-) Expense","2000.00","Admin fee","Daily Driver","" 
"May 08, 2023 8:06 AM","(-) Expense","40000.00","Food","Daily Driver","wargot" 
"May 09, 2023 8:07 AM","(-) Expense","100000.00","Food","Daily Driver","dana" 
"May 09, 2023 1:41 PM","(-) Expense","40000.00","Food","Fun Funds","wargot x2" 
"May 09, 2023 1:43 PM","(-) Expense","30000.00","Gas","Daily Driver","shell" 
"May 10, 2023 1:44 PM","(-) Expense","100000.00","cash out","Daily Driver","cash" 
"May 10, 2023 1:44 PM","(-) Expense","287000.00","Engredients Shopping","Daily Driver","yogya" 
"May 10, 2023 1:45 PM","(-) Expense","7500.00","Admin fee","Daily Driver","fee tarik tunai beda bang" 
"May 11, 2023 9:18 AM","(-) Expense","40000.00","Food","Fun Funds","dana warkop" 
"May 11, 2023 1:46 PM","(-) Expense","32000.00","Food","Daily Driver","ayam sambel mangga" 
"May 12, 2023 1:39 PM","(-) Expense","76000.00","Food","Fun Funds","seafood" 
"May 12, 2023 1:39 PM","(-) Expense","54500.00","Sport","Fun Funds","pitpool" 
"May 12, 2023 1:39 PM","(-) Expense","63500.00","Medicine","Fun Funds","actifed" 
"May 12, 2023 1:39 PM","(-) Expense","103000.00","Food","Fun Funds","bebek kalio berempat" 
"May 12, 2023 1:40 PM","(-) Expense","80000.00","Entertainment","Fun Funds","gopay coc" 
"May 12, 2023 1:40 PM","(-) Expense","29000.00","Gift","Fun Funds","beli rokok buat iki" 
"May 12, 2023 1:42 PM","(-) Expense","17000.00","Admin fee","Fun Funds","admin fee" 
"May 12, 2023 1:45 PM","(-) Expense","100000.00","cash out","Daily Driver","cash" 
"May 12, 2023 1:45 PM","(+) Income","150000.00","Gift","Daily Driver","tambahan dari papah" 
"May 12, 2023 1:46 PM","(-) Expense","15000.00","Admin fee","Daily Driver","admin fee total" 
"May 13, 2023 9:18 AM","(-) Expense","49000.00","Food","Fun Funds","seko coffee" 
